market_id,user_id,total_buy,total_sell,net_amount,num_trades
will-kari-lake-win-arizona-senate-election-by-1-2,0x000a0384e6ccedab80fbe870e86f9134d2b22572,29.67,0.0,29.67,3
will-kari-lake-win-arizona-senate-election-by-1-2,0x01a27842fecee40d5785ee84e6c7240bb092ce31,9.89,49.45,-39.56,2
will-kari-lake-win-arizona-senate-election-by-1-2,0x01d665d8f7b7deaf9087f3f487e7877d52f7bf6e,2.0,0.0,2.0,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x01eabc42e75188605c10559c18dd6478699fa907,0.0,3.16064,-3.16064,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x0453876c70f6f07fffde01573a2eebcd487a2f7e,2.0,0.0,2.0,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x049309756aaf06edb706a1df5b99a7fa1b442d20,19.78,0.0,19.78,2
will-kari-lake-win-arizona-senate-election-by-1-2,0x05f019dcb4a0b665026143d94f09aa070ee3f131,0.04,0.0,0.04,2
will-kari-lake-win-arizona-senate-election-by-1-2,0x067a36bd09f75aab5e9fc731fe7aa6c9a1ec404c,1.18039,0.0,1.18039,2
will-kari-lake-win-arizona-senate-election-by-1-2,0x076fa0937a63b6bf6f4e69e91bcc2b44b4738bed,0.02,0.0,0.02,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x07cd28fc2a0d524c5cfd040d42e83ab9a6f7206f,19.78,0.0,19.78,2
will-kari-lake-win-arizona-senate-election-by-1-2,0x08325309c56e74516a35dd87c86fb9d25db806a6,0.02,0.0,0.02,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x087e1d4c87edf21ce24f529f4d6c2eff9c85e85c,0.02,0.0,0.02,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x0df588c5c898bbf46b3754a20658645f08320b16,1.3,0.0,1.3,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x131dfeeab443a5e66319d53a277e4c64e17b2c57,9.89,0.0,9.89,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x1335d6a69c0b24748a8473258601056db2d626af,1.0150000000000001,0.0,1.0150000000000001,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x149bf0a5b1294f625a67ea0620d65e6c51e1a12d,0.02,0.0,0.02,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x153cb634a94e35f5353d33f94bea38e69f9e3e0c,0.04,0.0,0.04,2
will-kari-lake-win-arizona-senate-election-by-1-2,0x17528a01973b7faa9f958a71a175b555643f8c60,0.02,0.0,0.02,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x182b2bd1f035abe76eeb2244b32d9ebac27ef022,0.0,1.1844,-1.1844,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x1bd365755790b7405f55c7547e1ac9790d66ce91,19.78,0.0,19.78,2
will-kari-lake-win-arizona-senate-election-by-1-2,0x1c5b804ffce9367b1d56faeb3bbe766dbb2c5d75,5.0,0.0,5.0,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x20f4e20e8571fcfe9ea46845b92cd0bd2f89722b,0.01,0.0,0.01,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x228af2b3256110fceb8ad1a8ea16a59420231094,0.68366,0.0,0.68366,3
will-kari-lake-win-arizona-senate-election-by-1-2,0x22b0f403bf4d2693aa15265d2ed34df4cbce6940,0.74617,0.0,0.74617,2
will-kari-lake-win-arizona-senate-election-by-1-2,0x237561579bc35e42bec4f1ffb5418f34d22bdd7b,9.89,0.0,9.89,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x23ccbc88f7b73253e6727073ef70509b4468a44e,1.006,0.0,1.006,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x24072c0a2da05b94a64a8ca29639fbab44ad8afc,1.0150000000000001,0.0,1.0150000000000001,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x25831873e63bd4e3ce8f2dafed5dc87832130626,0.0,10.82916,-10.82916,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x27335d005cc36a65d4be75f9386d4b14f9e57f6c,1.016,0.0,1.016,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x29cf258ee217b15a69c843eaff45ace8a446f9c6,9.89,0.0,9.89,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x2b12f96e45d223cc41f4aebe35b11a62aa9397c3,0.02,0.0,0.02,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x2cffc7207444590c4f0b05bb047ffaf759ca475b,9.89,0.0,9.89,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x2d7c5c66873f56935e223f51b0a6e578e4148568,9.89,0.0,9.89,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x2dfdb07620ca76cca6bb47bc1ac1783aa6805d90,0.02,0.0,0.02,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x2e0037ea97d177fb693d85854fdad63d2e7e427b,0.04,0.0,0.04,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x2e0850f915b1057fc3d7323691d31f9c9dc67bba,0.04,0.0,0.04,2
will-kari-lake-win-arizona-senate-election-by-1-2,0x2f4a73eb1794da180092c85bc5dba4018989ebe7,0.02,0.0,0.02,1
will-kari-lake-win-arizona-senate-election-by-1-2,0x2fa0025da74b5e7115623843a28e27504ccd9fcc,19.78,0.0,19.78,2
will-kari-lake-win-arizona-senate-election-by-1-2,0x2fe88aa4bccb6959cb29eca208f420630eac683d,29.67,0.0,29.67,3
