metric,value
Total Users,5422.0
Total Buy Amount,676719479.450608
Total Sell Amount,69979993.03623
Total Volume,746699472.4868381
Total Net Amount,606739486.4143779
Total Trades,9008827.0
Average Buy per User,124809.93719118554
Average Sell per User,12906.675218780892
Average Volume per User,137716.61240996644
Average Net per User,111903.26197240464
Average Trades per User,1661.532091479159
Average Markets per User,1.2091479158981926
Median Buy per User,25.1052495
Median Sell per User,0.0
Median Volume per User,48.828464999999994
Median Net per User,5.999998
Median Trades per User,2.0
Median Markets per User,1.0
total_buy_p25,1.2099989999999998
total_buy_p50,25.1052495
total_buy_p75,10804.2742245
total_buy_p90,378955.56999999995
total_buy_p95,765404.0784
total_buy_p99,1555323.1200000006
total_sell_p25,0.0
total_sell_p50,0.0
total_sell_p75,5.2668375
total_sell_p90,62.74668400000006
total_sell_p95,1674.3988549999963
total_sell_p99,136574.2213425
net_amount_p25,0.05640299999999685
net_amount_p50,5.999998
net_amount_p75,5669.1525
net_amount_p90,378860.7599999999
net_amount_p95,761629.7678399999
net_amount_p99,1555323.1200000006
num_trades_p25,1.0
num_trades_p50,2.0
num_trades_p75,1999.0
num_trades_p90,5994.0
num_trades_p95,7999.0
num_trades_p99,15984.0
num_markets_p25,1.0
num_markets_p50,1.0
num_markets_p75,1.0
num_markets_p90,2.0
num_markets_p95,2.0
num_markets_p99,5.0
total_volume_p25,2.55251625
total_volume_p50,48.828464999999994
total_volume_p75,14840.0623
total_volume_p90,379144.9999999999
total_volume_p95,772195.2076565496
total_volume_p99,1700047.2490000003
